name,total_contributions
Henry Resources,42737
America's Communication Assn,42500
Lodge Lumber,42450
Reyes Holdings,42400
Quantum Energy Partners,42100
Giles & O'Malley,42000
National Ready Mixed Concrete Assn,42000
Harvard University,41849
American Chemistry Council,41750
Professional Compounding Centers of America,41500
Alabama Power,41500
US Sugar,41000
American Academy of Pediatric Dentistry,41000
CEMEX Inc,41000
Boston Scientific Corp,40780
Investment Property Exchange Services,40750
New York Cancer & Blood Specialists,40750
Rolls-Royce North America,40500
Sheet Metal & Air Conditioning Contractors Assn,40500
Serco Inc,40500
Sabin Metal,40400
Morongo Band of Mission Indians,40300
Newmar Corp,40200
American Waterways Operators,40000
Road to Freedom PAC,40000
Archer Daniels Midland,39500
PPL Corp,39075
Watco Companies,39000
PAC Unitatis,39000
Biomarin Pharmaceutical,39000
Harris Farms,38926
Mirand Response Systems,38900
University of Texas,38829
Russell Stover Candies,38800
Full Sail,38750
21st Century Healthcare,38600
Morgan Lewis LLP,38566
Interstate Batteries,38500
Cornerstone Government Affairs,38499
Debusk Services Group,38300
PPC Lubricants,38000
Lewis Bear Co,37800
International Assn of Fire Fighters,37500
American Land Title Assn,37500
American Podiatric Medical Assn,37500
Wendy's Co,37500
East Carolina Anesthesiology,37436
US Senate,37412
Platinum Health Care,37400
Republic National Distributing,37400
Barnes & Thornburg,37200
RDV Corp,37100
Freeport-McMoRan,37050
Hicks Holdings,37050
National Council of Textile Orgs,37000
Leggett & Platt,37000
Park Place Group,36900
Continental Resources,36900
Heavy Construction Systems Specialists,36850
Cottonwood Financial,36800
Pride Mobility Products,36800
Radiance Technologies,36600
Cherokee Nation,36600
Oberheiden Pc,36600
American Pistachio Growers,36500
American Sportfishing Assn,36500
Allied Pilots Assn,36500
NTCA/Rural Broadband Assn,36500
Idaho Forest Group,36500
Adams & Reese,36500
Cleveland-Cliffs,36500
Kent Companies,36467
Madison Dearborn Partners,36400
Fedex Corp,36275
1st Financial Bank USA,36275
State of Texas,36241
Baker Botts LLP,36225
International Brotherhood of Electrical Workers,36214
American College of Cardiology,36000
Keystone Alliance,36000
Amscot Financial,36000
Texas Transeastern,35900
Holland & Knight,35750
Desert Royalty Co,35600
College of American Pathologists,35500
Kansas City Southern,35470
PI Holdings,35300
RGA Reinsurance,35000
Appraisal Institute,35000
Promoting Our Republican Team PAC,35000
HCA Inc,34801
Mt Vernon Investments,34800
Hallmark Cards,34729
Sj Lockwood & Co,34700
Berexco Inc,34600
Red Apple Group,34600
Blue Origin,34550
Chesapeake Energy,34500
Hendricks Holding Co,34400
Progeny Systems,34200
American Bakers Assn,34000
Finseca,34000
Amway/Alticor Inc,34000
Patrick P Lee Foundation,33900
Poettker Construction,33700
Munger Farms,33700
Old Dominion Freight Line,33600
C&R Molding,33600
Capitol Resources,33400
Hendrick Automotive Group,33400
Balch & Bingham,33300
Edison International,33260
Acadian Companies,33207
Bayer AG,33050
Wilks Brothers,33028
Production Products,33000
Midway Usa,33000
Trinity Industries,33000
Anheuser-Busch,33000
US Postal Service,32931
Select Medical Corp,32912
Charlotte Pipe & Foundry,32816
US Army,32815
Willard Asphalt Paving,32800
Loren Cook Co,32800
Civic Service Inc,32800
AmerisourceBergen Corp,32501
WestRock Co,32500
American Assn of Orthodontists,32500
American Assn for Justice,32500
PG&E Corp,32445
Entertrainment Junction,32400
Richard Childress Racing,32300
Electronics Inc,32200
American Development Corp,32200
Coca-Cola Co,32113
Mass General Brigham,32111
Protective Life Corp,32100
Carnival Corp,32000
Netjets Assn of Shared Aircraft Pilots,32000
Plains Cotton Growers,32000
Bank of New York Mellon,32000
Banknote Capital,32000
Tennessee Industrial Electronics,31900
Werner Enterprises,31898
DuPont Co,31895
Northrock Inc,31800
"Cohen, Klingenstein & Marks",31700
RE Janes Gravel Co,31600
Ellwood Group,31250
Esri,31200
Stripco Inc,31200
Schroeder Management,31200
Aspire Health Alliance,31200
Wsj Properties,31200
Country Club Bank,31110
Roche Holdings,31085
Alliance for Pharmacy Compounding,31000
Support to Ensure Victory Everywhere PAC,31000
Western States Investment,31000
McKinney Capital,30800
Shakopee Mdewakanton Sioux Community,30800
Newton Enterprises,30800
Collazo Enterprises,30700
Santa Ynez Band of Mission Indians,30700
Whirlpool Corp,30675
Cassidy Organization,30600
Van Scoyoc Assoc,30500
US Israel PAC,30500
Beasley Media Group,30300
US Bancorp,30207
Mike Jordan Co,30200
Dale K Cline CPA,30200
Penn Capital Management,30200
Max Midstream,30200
Pilot Corp,30125
Bluegrass Cmte,30000
Sierra International Machinery,30000
Lank PAC,30000
Atlas Air Worldwide,30000
Budd Group,30000
Argentum,30000
Meadows for Congress,30000
Sarasota Transport,30000
American Seniors Housing Assn,30000
Loves Travel Stops & Country Stores,29900
Dallas Cowboys,29700
iHeartMedia Inc,29550
Federal Aviation Admin Managers Assn,29500
Mahaffey Enterprises,29400
Dese Research,29400
"Bryan, Cave et al",29368
Taste of Texas Restaurant,29300
McCombs Enterprises,29300
Jprc Energy LLC,29132
Herschend Family Entertainment,29100
First United Bank,29050
Lincoln National Corp,29000
Crescent Capital,29000
AECOM US,29000
Sage Energy,28900
Corporate Capital LLC,28900
With Honor PAC,28893
Polsinelli PC,28875
WellMed Medical Management,28743
Grant Thornton LLP,28600
American Staffing Assn,28500
Lehigh Hanson,28500
Sheetz Inc,28500
Bill & Melinda Gates Foundation,28400
Redman Management,28400
Citizens for Prosperity in America Today,28350
CalPortland Co,28000
Tigerrisk Partners,28000
Cold Spring Granite,28000
Degol Organization,28000
CDL Nuclear Technologies,28000
National Rural Water Assn,28000
Harbour Group Industries,28000
HollyFrontier Corp,28000
Wheels Inc,28000
Dallas Entrepreneur PAC,27850
Morgan Real Estate,27838
Northwest Excavating,27800
Patriots In Action,27800
Concept Development,27800
Kratos Defense & Security Solutions,27700
Icm Inc,27680
Fifth Third Bancorp,27625
Community Bancshares of Mississippi,27500
Discovery Operating,27500
US Travel Assn,27500
Cardinal Health,27500
American Chiropractic Assn,27500
Growth Energy,27500
Dairy Farmers of America,27500
"Mintz, Levin et al",27475
Harbert Management,27400
Mansefeldt Investment,27400
Hand Family Companies,27400
Ashford Hospitality Trust,27400
Wingate Companies,27400
Jackson Walker Llp,27317
JUUL Labs,27300
Locke Lord LLP,27255
Marwood Group,27200
Orscheln Group,27200
Systel,27200
Veterans United Home Loans,27150
Trans-Global Solutions,27130
Covelli Enterprises,27100
Thompson Coburn LLP,27000
American Assn of Clinical Urologists,27000
Phillips & Jordan,27000
State of Florida,26999
McLane Group,26900
York Management & Research,26900
Applied Companies,26800
Capital Funding Group,26800
Dab Constructors,26800
Knight Hawk Coal,26800
Choctaw Nation of Oklahoma,26725
Probity International,26600
New Mountain Capital,26600
Weathertech,26600
Cadence Bank,26550
Engel Burman Group,26500
Mid States Operating Co,26400
Hopkins Pharmacy,26400
Marsh & McLennan,26400
Stowers Machinery,26400
Rogers Group,26325
PriceWaterhouseCoopers,26228
Genox Transportation,26200
Internet Services Corp,26200
Dobbs Brothers Management,26200
Wildhorse Resources,26200
Prospector LLC,26200
Gene By Gene Ltd,26200
M&S Holdings,26200
Tw Ponessa,26200
Anthem Ventures,26200
Mmr Group,26200
Sanofi US,26000
Kevin McCarthy for Congress,26000
Fresenius Medical Care North America,26000
Genentech Inc,26000
Warburg Pincus,26000
US Peanut PAC,26000
National Independent Automobile Dealers Assn,25970
Torch Technologies,25859
Durham Co,25700
Dunlap & Kyle,25700
SAFTI First,25650
Crown Acquisitions,25600
Jim Norton Auto Group,25600
Southern Ohio Holding,25600
Carson Family Charitable Trust,25600
Avenue Solutions,25500
US Steel,25500
AstraZeneca Pharmaceuticals,25500
British American Tobacco,25500
Bancfirst,25400
Cash Express LLC,25300
Garlic Co,25250
Bracebridge Capital,25200
Magnolia Marketing,25200
Pruet Oil,25200
National Federation of Independent Business,25157
Ascension Marketing Group,25100
Polaris Industries,25100
Yates Construction,25100
Vulcan Materials,25100
K&L Gates,25055
Vertex Inc,25007
Comerica Inc,25000
Plum Healthcare Group,25000
Cafaro Co,25000
United Mine Workers of America,25000
CaptiveAire Systems,25000
American Express,25000
Squire Patton Boggs,25000
Jackson National Life Insurance,25000
EMD Serono Inc,25000
Oak Grove Technologies,25000
One Georgia PAC,25000
Morris & Dickson,24926
Barrantys LLC,24900
Equity Group Investments,24800
Maxwell Group,24600
"Thomas B Henson, Attorney",24600
Keith Corp,24600
Berkshire Partners,24400
Wdp Partners,24400
Nickles Group,24375
Dex Imaging,24300
Citizens Energy,24250
Depository Trust & Clearing Corp,24250
Lawley Insurance,24249
Meritage Homes,24100
"Sheet Metal, Air, Rail & Transportation Union",24000
VNA Holding,24000
AFL-CIO Bldg/Construction Trades Dept,24000
Kellogg Co,24000
Gruss & Co,23900
Bristol Manufacturing,23900
Huntsman Corp,23800
Duberstein Group,23800
United Technologies,23750
First Republic Bank,23700
Keewin Real Property Co,23700
Aerojet Rocketdyne,23600
Susan B Anthony List,23594
Johnson Controls,23525
BBVA USA,23500
Wholesale & Specialty Insurance Assn,23500
"Cole, Scott & Kissane",23500
FLIR Systems,23500
Thrivent Financial,23500
Insured Retirement Institute,23500
Turkish Coalition USA PAC,23500
Ocean Star International,23400
Ariel Foundation,23400
Ferber Co,23300
Sutton Properties,23300
Golding Barge Line,23200
MAU Workforce Solutions,23100
Lunds Fisheries,23100
American Psychiatric Assn,23000
South College,23000
National Assn of Wholesaler-Distributors,23000
NiSource Inc,23000
HSP Direct,22960
Noble Properties,22900
Tower Energy Group,22800
"Lewis, Thomason et al",22700
II-VI Inc,22600
Mississippi Power,22500
Fund for America's Future,22500
California Dairies Inc,22500
US Chamber of Commerce,22500
National Assn of Truck Stop Operators,22500
Ultra Electronics USA,22500
Online Lenders Alliance,22500
Community Oncology Alliance,22500
American Petroleum Institute,22475
Santa Clarita Studios,22400
Rock Island Auction,22400
Chicago White Sox,22400
Peirson & Patterson,22400
Provident Real Estate Ventures,22400
JB Coxwell Contracting,22400
Faros Properties,22400
US Dept of Defense,22319
Lowe Enterprises,22250
DynCorp International,22250
Milliken & Co,22250
CoreCivic Inc,22075
Bodley Group,22000
Doctors' Co,22000
National Tank Truck Carriers Inc,22000
Humana Inc,22000
Ervin Industries,22000
Molina Healthcare,22000
Lumen Technologies,21908
Genworth Financial,21900
Austal USA,21900
Magnum Magnetics,21850
Cook Group,21850
Kedrick Cerry Inc,21800
TAMKO Building Products,21800
Armstrong Bank,21700
Capital Group Companies,21625
Immvac Inc,21600
Willoughby & Hoefer,21600
GL Homes of Florida,21600
Martin Sprocket & Gear,21500
Samsung Electronics America,21500
Husch Blackwell Strategies,21500
Brasfield & Gorrie,21301
Cashflow Technologies,21200
Metro Aviation Inc,21200
Woodbranch Investments,21200
Petro Services,21200
Mississippi Farm Bureau Federation,21200
Zurich Insurance,21200
Robson Co,21200
Epperson Law Group PLLC,21200
Nextgen Management,21200
Senior Star,21200
Witmer Group,21200
Codina Partners,21200
Thor Industries,21200
Merritt Properties,21200
Magic Industries,21200
American Contractors Insurance Group,21200
AutoZone Inc,21200
Q2 Holdings,21200
Cleveland Browns,21200
Lanier Law Firm,21200
Jh Land LLC,21200
Victory Park Capital,21200
Carter Baldwin,21200
Abro Industries,21200
Absolute Machine Tools,21200
Rodgers & Assoc,21200
Case & Assoc Properties,21200
Sontag Foundation,21200
Riverside Partners,21200
Ring Power Corp,21200
Accel Partners,21200
Fluor Corp,21025
Global Credit Advisers,21000
Mississippi ACRE,21000
National Business Aircraft Assn,21000
Hydrologic Distribution Co,21000
Facebook Inc,20960
JE Dunn Construction Group,20950
Innovative Federal Strategies,20950
Peck Enterprises,20950
Double Eagle Energy,20900
Time Investment,20816
Haury & Smith Contractors,20800
Ardent Health Services,20800
Datron World Communications,20800
Frontline Homeowner's Insurance,20800
Smoker Craft,20800
Watch Systems,20800
Akerman LLP,20750
Hsl Properties,20750
Aronov Realty Co,20600
Goldcoast Logistics Group,20600
Prescott Investors,20567
Drummond Co,20560
American Academy of Family Physicians,20500
CropLife America,20500
Embraer Aircraft Holdings,20500
Western Extrusions,20500
Quantum Research International,20500
Marine Engineers Beneficial Assn,20500
Heritage Title Co of Austin,20500
Mayport Venture Partners LLC,20450
Target Corp,20400
Ascension Health,20300
Paragon Healthcare,20291
Pakistani American Public Affairs Cmte,20200
Enterprise Products Partners,20200
Bukaty Companies,20200
State Street Corp,20050
"Jobs, Freedom & Security PAC",20000
KeyCorp,20000
Blue Cross/Blue Shield of Alabama,20000
Abraham Lincoln PAC,20000
American Assn of Crop Insurers,20000
Pan Am Equities,20000
Citizens Financial Group,20000
Outdoor Venture Corp,20000
National Thoroughbred Racing Assn,20000
Freedom Fund,20000
Freedom Project,20000
Urology Austin,20000
Unum Group,20000
Collins & Young,20000
Heartland Values PAC,20000
Free State PAC,20000
Truck Renting & Leasing Assn,20000
LHC Group,20000
TransAmerica,20000
Squire Creek Country Club,20000
Downs Food Group,20000
Lockton Companies,19900
Kane Realty,19850
Raia Capital Management,19800
Otis Eastern,19736
State of Tennessee,19733
Realpage Inc,19650
Midland Energy,19638
Sherman Dixie Concrete,19600
Jackson Hole Mountain Resort,19600
Maritime Development Center,19600
Hendrick Motorsports,19600
"Brownstein, Hyatt et al",19550
ITC Holdings,19550
Ellicott Development,19500
American Commercial Barge Line,19500
Concast Metal Products,19400
Addicus,19300
Stewart's Shops Corp,19300
Deroyal Industries,19200
Quality Built Homes,19200
Axium Advisors,19116
Robindale Energy Services,19100
United Airlines,19000
Acadian Ambulance Service,19000
Farris Bobango PLC,19000
MasterCard Inc,19000
Davidson Technologies,19000
Vecellio Group,19000
Lone Star Leadership PAC,19000
Carolina Business Interiors,19000
Snake River Sugar,19000
Animal Wellness Action,19000
Airlines for America,19000
Southeastern Lumber Manufacturers Assn,19000
NextGen Management,18915
T&D Concrete,18900
Dot Foods,18900
Jes Holdings LLC,18900
Carolina Made,18825
Girardi & Keese,18800
Pollard Lumber,18800
Kit Bond Strategies,18750
Salt River Project,18750
Ashley Furniture,18750
Ishares Inc,18700
Mercedes-Benz of South Charlotte,18700
Strand Partners,18700
Prime Inc,18700
Winning for Women,18700
Johnson Machinery,18600
Penncara Energy,18600
Magnolia Oil & Gas,18595
National Mining Assn,18500
Corning Inc,18500
Florida East Coast Industries,18500
Hillwood Development,18400
Southwest Ford,18400
Brent Scarbrough & Co,18400
Bama Companies,18300
Kriebel Group,18300
"Jobs, Economy & Budget Fund",18250
WW Gay Mechanical Contractor,18200
Monte Sano Research,18200
"Baker, Donelson et al",18100
Consumer Brands Assn,18000
Alston & Bird,18000
Horizon Therapeutics,18000
Crowley Maritime,18000
Dillard's Inc,17920
"McDermott, Will & Emery",17920
JTM Provisions,17900
NCR Corp,17900
Tlc Properties,17850
Baker & Hostetler,17800
Ross Design & Engineering,17800
US Marine Inc,17800
Goff Capital,17800
Consumer Bankers Assn,17800
PVS Chemicals,17800
Hodgdon Powder,17700
Michigan Research Institute,17600
Blue Diamond Growers,17500
Bayer Corp,17500
PG Genatt Group,17500
Peter Forman Corp,17400
Procter & Gamble,17400
National Propane Gas Assn,17368
Schnuck Markets,17325
"Bradley, Arant et al",17300
Nationwide,17250
Wright Brothers Construction,17200
Crowe LLP,17200
Janke General Contractors,17200
Tenaska Inc,17100
NASCAR,17032
Hewlett Packard Enterprise,17000
American Forest & Paper Assn,17000
Salt River Valley Water Users' Assn,17000
Triumph Group,17000
Family Research Council,17000
Jw Witten Investments,17000
Aaon Inc,17000
Mills Properties,17000
Tower Ventures,16900
BancFirst,16900
Live Oak Bank,16850
Williams & Connolly,16850
Pioneer Nursery,16839
LyondellBasell Industries,16836
Game Creek Video LLC,16830
Medline Industries,16803
Walker Die Casting,16800
Inspire Brands,16800
McKinley Assoc,16800
Liberty Partners Group,16800
Maund Auto Group,16800
Stern & Stern,16800
Linda Dresner Inc,16800
National Aviation Academy,16800
Conestoga Energy Partners,16800
Colsa Corp,16800
DK Boyd Land & Cattle Co,16800
Quantico Tactical,16800
MedStar Health,16800
AQR Capital Management,16800
Innovative Livestock Services,16800
Beckwith Electric,16800
Grant & Eisenhofer,16800
Conversion Venture Capital,16800
Myaderm,16800
Wausau Homes,16800
Legend Senior Living,16800
Navatek Ltd,16800
Cajun Industries,16800
Seminole Tribe of Florida,16800
Paddock Chevrolet,16800
Sutherland Capital Management,16800
Lone Pine Capital,16800
Maple Leaf Farms,16800
Eb-5 New York State,16800
Anduril Industries,16800
Rosen Partners,16800
Advanced Futures Inc,16800
Federal Industries Inc,16800
Rice Lake Weighing Systems,16800
Washington University in St Louis,16760
Cintas Corp,16701
Linden Thomas & Co,16700
Pack Automotive Group,16700
Western Slopes Security Services,16700
Zimmerman Advertising,16700
Assured Partners Inc,16700
Lancaster School of Cosmetology,16700
