pac_id,id,name,total,pacs,individuals,release_date,traitor_id,traitor_name,traitor_state,traitor_chamber
C00506733,D000071027,Cadence Bank,6500,6500,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C90016437,D000000086,National Assn of Home Builders,6500,6500,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00016683,D000000138,Pfizer Inc                              ,6500,6500,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00068692,D000000089,FedEx Corp,6055,6000,55,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
         ,          ,AGM Consulting Services,5600,0,5600,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00516864,D000047511,Austal USA,5600,5600,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
         ,          ,GAN Corp,5600,0,5600,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
         ,          ,Hunt Oil,5600,0,5600,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
         ,          ,Miltec,5600,0,5600,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
         ,          ,Thompson Gray,5600,0,5600,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
         ,          ,Verity Integrated Systems,5600,0,5600,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00425439,D000029438,Thoroughbred PAC,5500,5500,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00369058,D000022304,Van Scoyoc Assoc,5500,0,5500,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
         ,          ,Victory Solutions,5500,0,5500,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00436048,D000023804,Alabama Forestry Assn,5000,5000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00010868,D000000682,American Council of Engineering Cos,5000,5000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00027532,          ,American Maritime Officers,5000,5000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00081414,D000000366,American Sugar Cane League,5000,5000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00039461,D000024239,Ball Corp,5000,5000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00500017,D000032087,"Bradley, Arant et al",5000,5000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00111880,          ,CEMEX Inc,5000,5000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00426775,D000000672,Charter Communications,5000,5000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
         ,D000033067,Davidson Technologies,5000,0,5000,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00382150,D000022003,GEO Group,5000,5000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00428623,          ,Google Inc,5000,5000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00448373,D000026537,Huck PAC,5000,5000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
         ,          ,Monte Sano Research,5000,0,5000,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00130773,D000000755,National Multifamily Housing Council,5000,5000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00202184,D000027883,National Rural Water Assn,5000,5000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00103549,D000022175,Parsons Corp,5000,5000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00622118,D000067587,Point Blank Enterprises,5000,5000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00279497,D000028403,Polaris Industries,5000,5000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
         ,D000055841,Qualis Corp,5000,0,5000,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
         ,D000071324,Quantum Research International,5000,0,5000,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00589044,D000058571,Westervelt Co,5000,5000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00147173,D000000356,Wine & Spirits Wholesalers of America,5000,5000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
         ,          ,Gray Analytics,4700,0,4700,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
         ,D000030401,Thompson Tractor,4700,0,4700,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00169821,D000000460,Tyson Foods,4535,4500,35,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
         ,D000032097,Brasfield & Gorrie,4501,0,4501,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00281212,D000000583,BAE Systems,4500,4500,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00301929,D000026977,"Kelley, Drye & Warren",4500,3000,1500,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
         ,          ,Bevilacqua Research Corp,4300,0,4300,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00034157,D000000126,AFLAC Inc,4000,4000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00114132,D000000315,American Veterinary Medical Assn,4000,4000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00355677,D000024369,Biotechnology Innovation Organization,4000,2500,1500,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00384354,          ,Michigan Sugar,4000,4000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00010082,D000022131,NCTA The Internet & Television Assn,4000,4000,0,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
         ,D000062626,Neurological Surgery Assoc,4000,0,4000,2020-12-26 00:00:00 +0000,N00003028,Robert B. Aderholt,Ala.,House 
C00077305,          ,Alabama Power,20000,20000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,D000036737,Poarch Band of Creek Indians,15600,0,15600,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Hometown Lenders,14000,0,14000,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00552851,D000068902,House Freedom Fund,13800,10000,3800,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,D000053519,McDaniel & Mcdaniel,13300,0,13300,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00372979,D000028509,Radiance Technologies,12800,5000,7800,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00088591,D000000170,Northrop Grumman,12504,12500,4,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,D000065661,Franklin L Haney Co,10800,0,10800,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00142711,D000000100,Boeing Co,10754,10000,754,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00255752,D000000199,American Society of Anesthesiologists,10000,10000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00303024,D000000104,Lockheed Martin,10000,10000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Willbrook Solutions,8300,0,8300,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00400424,D000029489,Torch Technologies,8200,5500,2700,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C70002563,D000000062,National Assn of Realtors,8000,8000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,D000033067,Davidson Technologies,6600,0,6600,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00010868,D000000682,American Council of Engineering Cos,6000,6000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00144766,D000000101,National Beer Wholesalers Assn,6000,6000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00432252,D000022216,Regions Financial,6000,6000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,North Alabama Mortgage,5800,0,5800,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Associated Engineering Service,5600,0,5600,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Breland Homes,5600,0,5600,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Eagles Management,5600,0,5600,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Intuitive Research & Technology,5600,0,5600,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,D000037786,State of Alabama,5600,0,5600,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Verplank Enterprises,5600,0,5600,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Leo Law LLC,5500,0,5500,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Monte Sano Research,5500,0,5500,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00379628,D000028057,Nucor Corp,5500,5500,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,D000071324,Quantum Research International,5500,0,5500,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,S3,5500,0,5500,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Trivector Services,5500,0,5500,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Wavelink Inc,5500,0,5500,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Community Antenna Service,5400,0,5400,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Five Stones Research,5400,0,5400,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,D000068062,Hendricks Holding Co,5400,0,5400,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,D000029367,Teledyne Technologies,5400,0,5400,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00365965,D000021823,American Academy of Pediatric Dentistry,5000,5000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00010421,D000000187,Associated Builders & Contractors,5000,5000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00358440,D000021862,Balch & Bingham,5000,5000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00457242,          ,Blue Cross/Blue Shield of Alabama,5000,5000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00448373,D000026537,Huck PAC,5000,5000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00536540,D000070077,"Jobs, Freedom & Security PAC",5000,5000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00272724,D000027470,"Maynard, Cooper & Gale",5000,5000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00113241,D000027790,National Apartment Assn,5000,5000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00040998,D000000080,National Auto Dealers Assn,5000,5000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00097568,D000072615,Raytheon Technologies,5000,5000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00300426,D000029138,Southern Cotton Growers Inc,5000,5000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Lesco Logistics,4600,0,4600,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Athens Pharmacy,4500,0,4500,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00557793,D000069501,Blue Origin,4000,4000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00142299,D000000371,Jacobs Engineering Group,4000,4000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00005249,D000000096,National Assn of Insurance & Financial Advisors,4000,4000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Jacob Title,3800,0,3800,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00239038,          ,Rocket City PAC,3800,3800,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Westmoreland Co,3800,0,3800,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Huntsville Cardiology,3700,0,3700,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00117424,D000067804,WestRock Co,3500,3500,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,D000055841,Qualis Corp,3300,0,3300,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00129122,          ,Aerojet Rocketdyne,3000,3000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00281212,D000000583,BAE Systems,3000,3000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00248716,D000000461,Comcast Corp,3000,3000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00383992,D000065265,Perspecta Inc,3000,2000,1000,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00300418,D000067120,SAIC,3000,3000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00542365,          ,Toyota Motor North America,3000,3000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Asea,2800,0,2800,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00516864,D000047511,Austal USA,2800,2800,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Cas Inc,2800,0,2800,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,DK Boyd Land & Cattle Co,2800,0,2800,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Lafayette General Medical Center,2800,0,2800,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Thompson Gray,2800,0,2800,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Wesfam Restaurants Inc,2800,0,2800,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Realty Investments,2700,0,2700,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,D000057637,TNT Fireworks,2700,0,2700,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,D000068975,Xtreme Concepts,2700,0,2700,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00511899,          ,Arctic Slope Regional Corp,2500,2500,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,D000051477,Great Southern Wood Preserving,2500,0,2500,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00405555,D000027834,National Council of Textile Orgs,2500,2500,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00757377,          ,Republican Women of Huntsville,2200,2200,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,"Alexander, Corder et al",2000,0,2000,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00375360,D000021828,American College of Cardiology,2000,2000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00500017,D000032087,"Bradley, Arant et al",2000,2000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00355719,D000029618,Centrus Energy,2000,2000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Comprehensive Anesthesia Services,2000,0,2000,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,D000033145,Dese Research,2000,0,2000,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00024869,D000000125,General Electric,2000,2000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00345173,D000026475,Hexcel Corp,2000,2000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00032698,D000000261,Independent Community Bankers of America,2000,2000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,D000034860,Jim Jordan for Congress,2000,2000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Madison County Commission,2000,0,2000,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00503094,          ,Meadows for Congress,2000,2000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C90020850,D000000431,National Cotton Council,2000,2000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,D000036303,NVIDIA Corp,2000,0,2000,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Pearce Construction,2000,0,2000,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00400705,D000028488,Publix Super Markets,2000,2000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,D000037401,Scalise for Congress,2000,2000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00454074,D000071115,Tea Party Express/Our Country Deserves,2000,2000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Texans for Jodey Arrington,2000,2000,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,AGM Consulting Services,1500,0,1500,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,D000044215,BlueMountain Capital Management,1500,0,1500,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,D000032285,Capital Group,1500,0,1500,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Cooks Pest Control,1500,0,1500,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,CSC Coliving,1500,0,1500,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Data Trends,1500,0,1500,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Dhl,1500,0,1500,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Early Services Inc,1500,0,1500,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
C00559609,          ,Garver USA,1500,1500,0,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Pugh Group,1500,0,1500,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Simulation Technologies,1500,0,1500,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Turner Beverage Co,1500,0,1500,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
         ,          ,Turner Construction,1500,0,1500,2020-12-26 00:00:00 +0000,N00030910,Mo Brooks,Ala.,House 
